Ref,Val,Package,PosX,PosY,Rot,Side
"C260","1000 pF, 2KV","C_1206_3216Metric",7.229921,1.998031,-90.000000,top
"C261","100 nF","C_0402_1005Metric",8.112418,2.951198,-90.000000,top
"C262","100 nF","C_0402_1005Metric",7.964418,2.951198,-90.000000,top
"C263","100 nF","C_0402_1005Metric",7.815418,2.951198,-90.000000,top
"C264","100 nF","C_0402_1005Metric",7.665418,2.951198,-90.000000,top
"C265","100 nF","C_0402_1005Metric",8.182378,1.837114,-90.000000,top
"C266","100 nF","C_0402_1005Metric",8.047937,1.831055,-90.000000,top
"C267","100 nF","C_0402_1005Metric",7.883378,1.838114,-90.000000,top
"C268","100 nF","C_0402_1005Metric",7.732378,1.838114,-90.000000,top
"C269","1000 pF, 2KV","C_1206_3216Metric",8.016142,3.187402,-90.000000,top
"C270","1000 pF, 2KV","C_1206_3216Metric",7.984252,2.000000,-90.000000,top
"C271","100 nF","C_0402_1005Metric",8.855831,2.957020,-90.000000,top
"C272","100 nF","C_0402_1005Metric",8.704831,2.956925,-90.000000,top
"C273","100 nF","C_0402_1005Metric",8.555831,2.956020,-90.000000,top
"C274","100 nF","C_0402_1005Metric",8.404831,2.955925,-90.000000,top
"C275","100 nF","C_0402_1005Metric",8.924378,1.832713,-90.000000,top
"C276","100 nF","C_0402_1005Metric",8.774378,1.830713,-90.000000,top
"C277","100 nF","C_0402_1005Metric",8.624378,1.830713,-90.000000,top
"C278","100 nF","C_0402_1005Metric",8.474378,1.833713,-90.000000,top
"C279","1000 pF, 2KV","C_1206_3216Metric",8.590945,3.085433,-90.000000,top
"C280","1000 pF, 2KV","C_1206_3216Metric",8.840551,2.010236,-90.000000,top
"C281","100 nF","C_0402_1005Metric",9.597831,2.957020,-90.000000,top
"C282","100 nF","C_0402_1005Metric",9.446831,2.957020,-90.000000,top
"C283","100 nF","C_0402_1005Metric",9.295831,2.957020,-90.000000,top
"C284","100 nF","C_0402_1005Metric",9.146831,2.957020,-90.000000,top
"C285","100 nF","C_0402_1005Metric",9.681102,1.821240,-90.000000,top
"C286","100 nF","C_0402_1005Metric",9.514378,1.829713,-90.000000,top
"C287","100 nF","C_0402_1005Metric",9.365378,1.831797,-90.000000,top
"C288","100 nF","C_0402_1005Metric",9.214378,1.832713,-90.000000,top
"C289","1000 pF, 2KV","C_1206_3216Metric",9.344488,3.085827,-90.000000,top
"C290","1000 pF, 2KV","C_1206_3216Metric",9.590551,1.984646,-90.000000,top
"C291","100 nF","C_0402_1005Metric",6.878346,6.567560,90.000000,top
"C292","100 nF","C_0402_1005Metric",6.918110,6.567560,90.000000,top
"C293","100 nF","C_0402_1005Metric",6.995472,6.567560,90.000000,top
"C294","100 nF","C_0402_1005Metric",7.036024,6.567560,90.000000,top
"C295","100 nF","C_0402_1005Metric",7.133858,6.566929,90.000000,top
"C296","100 nF","C_0402_1005Metric",7.094488,6.566929,90.000000,top
"C297","100 nF","C_0402_1005Metric",7.191094,6.567560,90.000000,top
"C298","100 nF","C_0402_1005Metric",7.231094,6.567560,90.000000,top
"C299","100 nF","C_0402_1005Metric",7.473031,6.285433,0.000000,top
"C300","100 nF","C_0402_1005Metric",7.473020,6.324803,0.000000,top
"C301","100 nF","C_0402_1005Metric",7.473020,6.187008,0.000000,top
"C302","100 nF","C_0402_1005Metric",7.473020,6.227796,0.000000,top
"C303","100 nF","C_0402_1005Metric",7.473020,6.086720,0.000000,top
"C304","100 nF","C_0402_1005Metric",7.473020,6.127130,0.000000,top
"C305","100 nF","C_0402_1005Metric",7.473020,5.990263,0.000000,top
"C306","100 nF","C_0402_1005Metric",7.473020,6.029611,0.000000,top
"C307","1.0 uF","C_0603_1608Metric",10.642474,3.418915,90.000000,top
"C308","1.0 uF","C_0603_1608Metric",11.999474,3.861915,0.000000,top
"C336","100 nF","C_0402_1005Metric",10.488474,2.954006,-90.000000,top
"C337","100 nF","C_0402_1005Metric",10.338474,2.954006,-90.000000,top
"C338","100 nF","C_0402_1005Metric",10.190474,2.954006,-90.000000,top
"C339","100 nF","C_0402_1005Metric",10.040474,2.954006,-90.000000,top
"C340","100 nF","C_0402_1005Metric",10.563474,1.834911,-90.000000,top
"C341","100 nF","C_0402_1005Metric",10.413474,1.834911,-90.000000,top
"C342","100 nF","C_0402_1005Metric",10.263474,1.834911,-90.000000,top
"C343","100 nF","C_0402_1005Metric",10.111474,1.834911,-90.000000,top
"C344","1000 pF, 2KV","C_1206_3216Metric",10.387795,3.218504,-90.000000,top
"C345","1000 pF, 2KV","C_1206_3216Metric",10.350394,2.011811,-90.000000,top
"C346","100 nF","C_0402_1005Metric",11.228514,2.950090,-90.000000,top
"C347","100 nF","C_0402_1005Metric",11.080514,2.950090,-90.000000,top
"C348","100 nF","C_0402_1005Metric",10.931514,2.950090,-90.000000,top
"C349","100 nF","C_0402_1005Metric",10.781514,2.950090,-90.000000,top
"C350","100 nF","C_0402_1005Metric",11.298474,1.836006,-90.000000,top
"C351","100 nF","C_0402_1005Metric",11.148474,1.836006,-90.000000,top
"C352","100 nF","C_0402_1005Metric",10.999474,1.837006,-90.000000,top
"C353","100 nF","C_0402_1005Metric",10.848474,1.837006,-90.000000,top
"C354","1000 pF, 2KV","C_1206_3216Metric",11.134252,3.177953,-90.000000,top
"C355","1000 pF, 2KV","C_1206_3216Metric",11.098425,2.019685,-90.000000,top
"C356","100 nF","C_0402_1005Metric",11.971927,2.955911,-90.000000,top
"C357","100 nF","C_0402_1005Metric",11.849606,2.947441,-90.000000,top
"C358","100 nF","C_0402_1005Metric",11.671927,2.954911,-90.000000,top
"C359","100 nF","C_0402_1005Metric",11.520927,2.954817,-90.000000,top
"C360","100 nF","C_0402_1005Metric",12.040474,1.831604,-90.000000,top
"C361","100 nF","C_0402_1005Metric",11.890474,1.829604,-90.000000,top
"C362","100 nF","C_0402_1005Metric",11.740474,1.829604,-90.000000,top
"C363","100 nF","C_0402_1005Metric",11.590474,1.832604,-90.000000,top
"C364","1000 pF, 2KV","C_1206_3216Metric",11.757480,3.046457,-90.000000,top
"C365","1000 pF, 2KV","C_1206_3216Metric",11.960630,2.007874,-90.000000,top
"C366","100 nF","C_0402_1005Metric",12.713927,2.955911,-90.000000,top
"C367","100 nF","C_0402_1005Metric",12.562927,2.955911,-90.000000,top
"C368","100 nF","C_0402_1005Metric",12.411927,2.955911,-90.000000,top
"C369","100 nF","C_0402_1005Metric",12.262927,2.955911,-90.000000,top
"C370","100 nF","C_0402_1005Metric",12.779474,1.831604,-90.000000,top
"C371","100 nF","C_0402_1005Metric",12.630474,1.828604,-90.000000,top
"C372","100 nF","C_0402_1005Metric",12.481474,1.830688,-90.000000,top
"C373","100 nF","C_0402_1005Metric",12.330474,1.831604,-90.000000,top
"C374","1000 pF, 2KV","C_1206_3216Metric",12.475591,3.090551,-90.000000,top
"C375","1000 pF, 2KV","C_1206_3216Metric",12.708661,2.003937,-90.000000,top
"C376","100 nF","C_0402_1005Metric",8.523622,5.785433,0.000000,top
"C377","100 nF","C_0402_1005Metric",8.971063,5.785433,0.000000,top
"C378","22 nF","C_0402_1005Metric",1.815551,6.598425,180.000000,top
"C379","22 nF","C_0402_1005Metric",1.815551,6.641732,180.000000,top
"C380","22 nF","C_0402_1005Metric",1.814961,6.685039,180.000000,top
"C381","22 nF","C_0402_1005Metric",1.814370,6.728346,180.000000,top
"C382","47 uF","C_1210_3225Metric",5.358268,5.826772,180.000000,top
"C385","4.7 uF","C_0805_2012Metric",6.181102,5.952756,180.000000,top
"C387","47 uF","C_1210_3225Metric",6.043307,6.582677,180.000000,top
"C391","4.7 uF","C_0805_2012Metric",6.297736,6.511811,0.000000,top
"C394","47 uF","C_1210_3225Metric",7.523622,5.303150,0.000000,top
"C401","47 uF","C_1210_3225Metric",7.236220,7.011811,0.000000,top
"C410","4.7 uF","C_0805_2012Metric",6.897146,7.104331,180.000000,top
"C412","47 uF","C_1210_3225Metric",6.385827,7.047244,180.000000,top
"C413","47 uF","C_1210_3225Metric",6.866142,7.460630,180.000000,top
